date,taiex,tx_close,ect_zscore_oos,sig_dir,position
2024/04/09,20796.2,20874.0,,0,0
2024/04/10,20763.53,20851.0,,0,0
2024/04/11,20753.22,20753.0,,0,0
2024/04/12,20736.57,20755.0,,0,0
2024/04/15,20449.77,20508.0,,0,0
2024/04/16,19901.96,19953.0,,0,0
2024/04/17,20213.33,20238.0,,0,0
2024/04/18,20301.2,20358.0,,0,0
2024/04/19,19527.12,19546.0,,0,0
2024/04/22,19411.22,19524.0,,0,0
2024/04/23,19599.28,19677.0,,0,0
2024/04/24,20131.74,20170.0,,0,0
2024/04/25,19857.42,19885.0,,0,0
2024/04/26,20120.51,20178.0,,0,0
2024/04/29,20495.52,20552.0,,0,0
2024/04/30,20396.6,20413.0,,0,0
2024/05/02,20222.44,20291.0,,0,0
2024/05/03,20330.32,20382.0,,0,0
2024/05/06,20523.31,20602.0,,0,0
2024/05/07,20653.53,20650.0,,0,0
2024/05/08,20700.51,20725.0,,0,0
2024/05/09,20560.77,20612.0,,0,0
2024/05/10,20708.84,20809.0,,0,0
2024/05/13,20857.71,20883.0,,0,0
2024/05/14,20985.85,21013.0,,0,0
2024/05/15,21147.21,21143.0,,0,0
2024/05/16,21304.26,21370.0,,0,0
2024/05/17,21258.47,21336.0,,0,0
2024/05/20,21271.63,21302.0,,0,0
2024/05/21,21236.75,21277.0,,0,0
2024/05/22,21551.83,21583.0,,0,0
2024/05/23,21607.43,21604.0,,0,0
2024/05/24,21565.34,21565.0,,0,0
2024/05/27,21803.77,21875.0,,0,0
2024/05/28,21858.41,21954.0,,0,0
2024/05/29,21662.5,21722.0,-1.3502,-1,1
2024/05/30,21364.48,21391.0,-0.2728,-1,0
2024/05/31,21174.22,21285.0,0.6708,-1,0
2024/06/03,21536.76,21654.0,-2.0673,-1,1
2024/06/04,21356.62,21320.0,-2.1476,-1,1
2024/06/05,21484.88,21463.0,2.3686,-1,1
2024/06/06,21902.7,21875.0,1.9782,-1,1
2024/06/07,21858.38,21897.0,2.2353,-1,1
2024/06/11,21792.12,21798.0,0.3421,-1,0
2024/06/12,22048.96,22046.0,1.2573,-1,-1
2024/06/13,22312.04,22323.0,0.9793,1,-1
2024/06/14,22504.72,22511.0,0.5559,1,-1
2024/06/17,22496.53,22477.0,0.6568,1,-1
2024/06/18,22757.43,22786.0,1.3711,1,-1
2024/06/19,23209.54,23225.0,0.0036,1,0
2024/06/20,23406.1,23378.0,0.0096,1,0
2024/06/21,23253.39,23210.0,1.2166,1,1
2024/06/24,22813.7,22746.0,1.7038,1,1
2024/06/25,22875.97,22743.0,2.5348,1,1
2024/06/26,22986.69,22872.0,4.4099,1,1
2024/06/27,22905.98,22793.0,2.0428,-1,1
2024/06/28,23032.25,22983.0,2.0633,-1,0
2024/07/01,23058.57,22991.0,0.4348,-1,0
2024/07/02,22879.37,22831.0,0.8551,-1,0
2024/07/03,23172.43,23185.0,0.5305,-1,0
2024/07/04,23522.53,23624.0,-1.2498,-1,1
2024/07/05,23556.59,23570.0,-3.6223,-1,1
2024/07/08,23878.15,23913.0,-1.5822,-1,1
2024/07/09,23900.08,23878.0,-2.3474,-1,1
2024/07/10,24007.08,24000.0,-1.0285,-1,1
2024/07/11,24390.03,24367.0,-0.7499,-1,0
2024/07/12,23916.93,23808.0,-0.6229,-1,0
2024/07/15,23879.36,23853.0,1.4634,-1,-1
2024/07/16,23997.25,24002.0,-0.2697,-1,0
2024/07/17,23769.82,23679.0,-0.9957,-1,0
2024/07/18,23398.47,23383.0,1.1153,-1,-1
2024/07/19,22869.26,22909.0,-0.2442,-1,0
2024/07/22,22256.99,22379.0,-1.0967,-1,1
2024/07/23,22871.84,22830.0,-2.4656,-1,1
2024/07/26,22119.21,22095.0,0.5983,-1,1
2024/07/29,22164.49,22261.0,0.6761,-1,1
2024/07/30,22223.57,22246.0,-1.7218,-1,1
2024/07/31,22199.35,22290.0,-0.2967,-1,0
2024/08/01,22642.1,22653.0,-1.6252,-1,1
2024/08/02,21638.09,21533.0,-0.2936,-1,0
2024/08/05,19830.88,19374.0,2.3523,-1,-1
2024/08/06,20501.02,20420.0,9.5816,-1,-1
2024/08/07,21295.28,21131.0,2.4377,-1,-1
2024/08/08,20870.1,20696.0,3.5865,-1,-1
2024/08/09,21469.0,21481.0,3.9607,-1,-1
2024/08/12,21773.26,21677.0,-0.2628,-1,0
2024/08/13,21796.57,21769.0,0.9463,-1,0
2024/08/14,22027.25,21978.0,0.1773,-1,0
2024/08/15,21895.17,21840.0,0.4179,-1,0
2024/08/16,22349.33,22367.0,0.4853,-1,0
2024/08/19,22409.63,22361.0,-0.4111,-1,0
2024/08/20,22429.1,22436.0,0.3315,-1,0
2024/08/21,22237.89,22200.0,-0.2933,-1,0
2024/08/22,22148.83,22100.0,0.2176,-1,0
2024/08/23,22158.05,22129.0,0.3440,-1,0
2024/08/26,22240.12,22206.0,-0.0427,-1,0
2024/08/27,22185.0,22146.0,0.0421,-1,0
2024/08/28,22370.66,22401.0,0.0846,-1,0
2024/08/29,22201.85,22176.0,-0.6938,-1,0
2024/08/30,22268.09,22323.0,-0.0684,-1,0
2024/09/02,22235.1,22227.0,-1.1746,-1,1
2024/09/03,22092.21,22070.0,-0.3645,-1,0
2024/09/04,21092.75,20947.0,-0.2192,-1,0
2024/09/05,21187.71,21183.0,1.1199,-1,-1
2024/09/06,21435.19,21319.0,-0.6878,-1,-1
2024/09/09,21144.44,21073.0,0.7621,1,-1
2024/09/10,21064.08,21000.0,0.1031,1,0
2024/09/11,21031.0,21005.0,-0.0141,1,0
2024/09/12,21653.25,21711.0,-0.5169,1,0
2024/09/13,21759.65,21820.0,-1.4343,1,-1
2024/09/16,21850.08,21813.0,-1.2510,1,-1
2024/09/18,21678.84,21619.0,-0.0468,1,0
2024/09/19,22042.69,22074.0,0.2145,1,0
2024/09/20,22159.42,22220.0,-0.8654,1,0
2024/09/23,22285.53,22338.0,-1.2121,1,-1
2024/09/24,22431.78,22491.0,-1.0385,1,-1
2024/09/25,22761.6,22792.0,-1.0886,1,-1
2024/09/26,22858.81,22957.0,-0.6442,1,-1
2024/09/27,22822.79,22884.0,-1.4785,1,-1
2024/09/30,22224.54,22326.0,-1.0193,1,0
2024/10/01,22390.39,22391.0,-1.4007,1,-1
2024/10/04,22302.71,22284.0,-0.2176,1,0
2024/10/07,22702.56,22779.0,0.0018,1,0
2024/10/08,22611.39,22575.0,-1.0809,1,-1
2024/10/09,22659.08,22702.0,0.2261,1,0
2024/10/11,22901.64,22912.0,-0.2425,-1,0
2024/10/14,22975.29,23008.0,0.3855,-1,0
2024/10/15,23292.04,23225.0,0.2012,-1,0
2024/10/16,23010.98,22986.0,1.6872,-1,-1
2024/10/17,23053.84,23256.0,0.9090,-1,-1
2024/10/18,23487.27,23657.0,-2.2048,-1,-1
2024/10/21,23542.53,23567.0,-1.4023,-1,-1
2024/10/22,23535.43,23633.0,0.6527,-1,-1
2024/10/23,23334.76,23406.0,-0.3645,-1,0
2024/10/24,23192.52,23304.0,-0.1640,-1,0
2024/10/25,23348.45,23481.0,-0.5880,-1,0
2024/10/28,23198.07,23326.0,-0.7236,-1,0
2024/10/29,22926.59,22976.0,-0.8245,-1,0
2024/10/30,22820.43,22904.0,0.0290,-1,0
2024/11/01,22780.08,22753.0,-0.5943,-1,0
2024/11/04,22965.39,23041.0,0.9342,-1,0
2024/11/05,23106.79,23135.0,-0.4002,-1,0
2024/11/06,23217.38,23324.0,0.4521,-1,0
2024/11/07,23408.82,23532.0,-0.5990,-1,0
2024/11/08,23553.89,23781.0,-0.6459,-1,0
2024/11/11,23529.64,23573.0,-2.2714,-1,1
2024/11/12,22981.77,22869.0,1.0098,-1,1
2024/11/13,22860.23,22783.0,3.1169,-1,1
2024/11/14,22715.38,22684.0,2.3193,-1,1
2024/11/15,22742.77,22759.0,1.3057,-1,1
2024/11/18,22546.54,22574.0,0.2940,-1,0
2024/11/19,22848.8,22850.0,-0.0635,-1,0
2024/11/20,22688.36,22686.0,0.6311,-1,0
2024/11/21,22555.66,22573.0,0.5437,-1,0
2024/11/22,22904.32,23038.0,0.1074,-1,0
2024/11/25,22948.37,23066.0,-1.3937,-1,1
2024/11/26,22678.76,22636.0,-1.0974,-1,1
2024/11/27,22334.78,22347.0,1.2369,-1,1
2024/11/28,22298.9,22337.0,0.0515,-1,0
2024/11/29,22262.5,22313.0,-0.3952,-1,0
2024/12/02,22736.93,22827.0,-0.5706,-1,0
2024/12/03,23027.46,23112.0,-0.8056,-1,0
2024/12/04,23255.33,23294.0,-0.4790,-1,0
2024/12/05,23267.94,23251.0,0.4338,-1,0
2024/12/06,23193.27,23179.0,1.3234,-1,-1
2024/12/09,23273.25,23249.0,1.0487,1,-1
2024/12/10,23125.08,23090.0,1.2400,1,-1
2024/12/11,22903.63,22848.0,1.3433,1,-1
2024/12/12,23046.8,23107.0,1.5657,1,-1
2024/12/13,23020.48,22986.0,-0.1785,1,0
2024/12/16,23039.9,22961.0,1.0761,1,1
2024/12/17,23018.01,23031.0,1.7265,1,1
2024/12/18,23168.67,23105.0,0.3823,1,0
2024/12/19,22932.25,22849.0,1.5130,1,1
2024/12/20,22510.25,22635.0,1.7825,1,1
2024/12/23,23104.54,23242.0,-1.2984,-1,1
2024/12/24,23120.24,23216.0,-1.3786,-1,1
2024/12/25,23220.13,23329.0,-0.7973,-1,1
2024/12/26,23246.94,23326.0,-0.9631,-1,0
2024/12/27,23275.68,23372.0,-0.5450,-1,0
2024/12/30,23190.2,23177.0,-0.5374,-1,0
2024/12/31,23035.1,23041.0,0.9253,-1,0
2025/01/02,22832.06,22842.0,0.5156,-1,0
2025/01/03,22908.3,22977.0,0.2741,-1,0
2025/01/06,23547.71,23609.0,-0.4831,-1,0
2025/01/07,23651.27,23752.0,-0.2736,-1,0
2025/01/08,23407.33,23450.0,-0.8065,-1,0
2025/01/09,23081.13,23105.0,-0.0247,-1,0
2025/01/10,23011.86,23049.0,0.2211,-1,0
2025/01/13,22488.33,22535.0,0.0387,-1,0
2025/01/14,22797.52,22750.0,1.0170,1,1
2025/01/15,22514.57,22519.0,1.2338,1,1
2025/01/16,23025.1,23031.0,1.3334,1,1
2025/01/17,23148.08,23190.0,0.3256,1,0
2025/01/20,23266.82,23346.0,-0.2275,1,0
2025/01/21,23300.01,23365.0,-0.9179,1,0
2025/01/22,23525.41,23698.0,-0.8114,1,0
2025/02/03,22694.71,22598.0,-2.3636,1,-1
2025/02/04,22793.96,22822.0,1.9374,1,-1
2025/02/05,23161.58,23133.0,0.3908,1,0
2025/02/06,23316.6,23290.0,0.4829,1,0
2025/02/07,23478.27,23431.0,0.2612,1,0
2025/02/10,23252.14,23246.0,0.2916,1,0
2025/02/11,23384.05,23335.0,0.1084,1,0
2025/02/12,23289.75,23315.0,0.4330,1,0
2025/02/13,23399.41,23399.0,-0.5854,1,0
2025/02/14,23152.61,23179.0,-0.4971,1,0
2025/02/17,23505.33,23504.0,-0.3411,1,0
2025/02/18,23666.11,23649.0,-0.6854,1,0
2025/02/19,23604.08,23608.0,-0.8063,1,0
2025/02/20,23487.46,23538.0,-0.7738,1,0
2025/02/21,23730.25,23745.0,-1.1554,1,-1
2025/02/24,23565.31,23558.0,-1.1444,1,-1
2025/02/25,23285.72,23299.0,-0.5588,1,-1
